State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge
KS,128,415,382-4657,no,yes,25,265.1000061035156,110,45.06999969482422,197.39999389648438,99,16.780000686645508,244.6999969482422,91,11.010000228881836,10,3,2.700000047683716
OH,107,415,371-7191,no,yes,26,161.60000610351562,123,27.469999313354492,195.5,103,16.6200008392334,254.39999389648438,103,11.449999809265137,13.699999809265137,3,3.700000047683716
NJ,137,415,358-1921,no,no,0,243.39999389648438,114,41.380001068115234,121.19999694824219,110,10.300000190734863,162.60000610351562,104,7.320000171661377,12.199999809265137,5,3.2899999618530273
OH,84,408,375-9999,yes,no,0,299.3999938964844,71,50.900001525878906,61.900001525878906,88,5.260000228881836,196.89999389648438,89,8.859999656677246,6.599999904632568,7,1.7799999713897705
OK,75,415,330-6626,yes,no,0,166.6999969482422,113,28.34000015258789,148.3000030517578,122,12.609999656677246,186.89999389648438,121,8.40999984741211,10.100000381469727,3,2.7300000190734863
MA,121,510,355-9993,no,yes,24,218.1999969482422,88,37.09000015258789,348.5,108,29.6200008392334,212.60000610351562,118,9.569999694824219,7.5,7,2.0299999713897705
MO,147,415,329-9001,yes,no,0,157,79,26.690000534057617,103.0999984741211,94,8.760000228881836,211.8000030517578,96,9.529999732971191,7.099999904632568,6,1.9199999570846558
LA,117,408,335-4719,no,no,0,184.5,97,31.3700008392334,351.6000061035156,80,29.889999389648438,215.8000030517578,90,9.710000038146973,8.699999809265137,4,2.3499999046325684
WV,141,415,330-8173,yes,yes,37,258.6000061035156,84,43.959999084472656,222,111,18.8700008392334,326.3999938964844,97,14.6899995803833,11.199999809265137,5,3.0199999809265137
IN,65,415,329-6603,no,no,0,129.10000610351562,137,21.950000762939453,228.5,83,19.420000076293945,208.8000030517578,111,9.399999618530273,12.699999809265137,6,3.430000066757202
RI,74,415,344-9403,no,no,0,187.6999969482422,127,31.90999984741211,163.39999389648438,148,13.890000343322754,196,94,8.819999694824219,9.100000381469727,5,2.4600000381469727
IA,168,408,363-1107,no,no,0,128.8000030517578,96,21.899999618530273,104.9000015258789,71,8.920000076293945,141.10000610351562,128,6.349999904632568,11.199999809265137,2,3.0199999809265137
MT,95,510,394-8006,no,no,0,156.60000610351562,88,26.6200008392334,247.60000610351562,75,21.049999237060547,192.3000030517578,115,8.649999618530273,12.300000190734863,5,3.319999933242798
ID,85,408,350-8884,no,yes,27,196.39999389648438,139,33.38999938964844,280.8999938964844,90,23.8799991607666,89.30000305175781,75,4.019999980926514,13.800000190734863,4,3.7300000190734863
VT,93,510,386-2923,no,no,0,190.6999969482422,114,32.41999816894531,218.1999969482422,111,18.549999237060547,129.60000610351562,121,5.829999923706055,8.100000381469727,3,2.190000057220459
TX,73,415,373-2782,no,no,0,224.39999389648438,90,38.150001525878906,159.5,88,13.5600004196167,192.8000030517578,74,8.680000305175781,13,2,3.509999990463257
FL,147,415,396-5800,no,no,0,155.10000610351562,117,26.3700008392334,239.6999969482422,93,20.3700008392334,208.8000030517578,133,9.399999618530273,10.600000381469727,4,2.859999895095825
AZ,130,415,358-1958,no,no,0,183,112,31.110000610351562,72.9000015258789,99,6.199999809265137,181.8000030517578,78,8.180000305175781,9.5,19,2.569999933242798
SC,111,415,350-2565,no,no,0,110.4000015258789,103,18.770000457763672,137.3000030517578,102,11.670000076293945,189.60000610351562,105,8.529999732971191,7.699999809265137,6,2.0799999237060547
VA,132,510,343-4696,no,no,0,81.0999984741211,86,13.789999961853027,245.1999969482422,72,20.84000015258789,237,115,10.670000076293945,10.300000190734863,2,2.7799999713897705
